# Native language names
# extracted from http://td.unfoldingword.org/exports/langnames.json

aa	Afaraf
ras	Tegali
rat	Razajerdi
rau	Raute
rav	Sampang
raw	Rawang
rax	Rang
ray	Rapa
raz	Rahambuu
rbb	Rumai Palaung
rbk	Northern Bontok
rbl	Miraya Bikol
rbp	Barababaraba
rcf	Réunion Creole French
rdb	Rudbari
rea	Rerau
reb	Rembong
ree	Rejang Kayan
reg	Kara (Tanzania)
rei	Reli
rej	Rejang
rel	Rendille
ren	Rengao
res	Reshe
ret	Retta
rey	Reyesano
rga	Roria
rge	Romano-Greek
rgk	Rangkas
rgn	Romagnol
rgr	Resígaro
rgs	Southern Roglai
rgu	Ringgou
rhg	Rohingya
rhp	Yahang
ria	Riang (India)
rie	Rien
rif	Tarifit
ril	Riang (Myanmar)
rim	Nyaturu
rin	Nungu
rir	Ribun
rit	Ritarungo
riu	Riung
rjg	Rajong
rji	Raji
rjs	Rajbanshi
rka	Kraol
rkb	Rikbaktsa
rkh	Rakahanga-Manihiki
rki	Rakhine
rkm	Marka
rkt	Rangpuri
rm	rumantsch grischun
rma	Rama
rmb	Rembarunga
rmc	Carpathian Romani
rme	Angloromani
rmf	Kalo Finnish Romani
rmg	Traveller Norwegian
rmh	Murkim
rmi	Lomavren
rmk	Romkun
rml	Baltic Romani
rmm	Roma
rmn	Balkan Romani
rmo	Sinte Romani
rmp	Rempi
rmq	Caló
rms	Romanian Sign Language
rmt	Domari
rmu	Tavringer Romani
rmv	Romanova
rmw	Welsh Romani
rmx	Romam
rmy	Vlax Romani
rmz	Marma
rn	Ikirundi
rnd	Ruund
rng	Ronga
rnl	Ranglong
rnn	Roon
rnp	Rongpo
rnw	Rungwa
ro	limba română
rob	Tae'
roc	Cacgia Roglai
rod	Rogo
roe	Ronji
rof	Rombo
rog	Northern Roglai
rol	Romblomanon
rom	Romany
roo	Rotokas
rop	Kriol
ror	Rongga
rou	Runga
row	Dela-Oenale
rpn	Repanbitip
rpt	Rapting
rri	Ririo
rro	Waima
rrt	Arritinngithigh
rsb	Romano-Serbian
rsl	Russian Sign Language
rtc	Rungtu Chin
rth	Ratahan
rtm	Rotuman
rts	Yurats
rtw	Rathawi
ru	Русский
rub	Gungu
ruc	Ruuli
rue	Rusyn
ruf	Luguru
rug	Roviana
ruh	Ruga
rui	Rufiji
ruk	Che
ruo	Istro Romanian
rup	Macedo-Romanian
ruq	Megleno Romanian
rut	Rutul
ruu	Lanas Lobu
ruy	Mala (Nigeria)
ruz	Ruma
rw	Ikinyarwanda
rwa	Rawo
rwk	Rwa
rwm	Amba (Uganda)
rwo	Rawa
rwr	Marwari (India)
rxd	Ngardi
rxw	Karuwali
ryn	Northern Amami-Oshima
rys	Yaeyama
ryu	Central Okinawan
sa	संस्कृतम्
saa	Saba
sab	Buglere
sac	Meskwaki
sad	Sandawe
sae	Sabanê
saf	Safaliba
sah	Yakut
saj	Sahu
sak	Sake
sam	Samaritan Aramaic
sao	Sause
saq	Samburu
sas	Sasak
sat	Santali
sau	Saleman
sav	Saafi-Saafi
saw	Sawi
sax	Sa
say	Saya
saz	Saurashtra
sba	Ngambay
sbb	Simbo
sbc	Kele (Papua New Guinea)
sbd	Southern Samo
sbe	Saliba
sbf	Chabu
sbg	Seget
sbh	Sori-Harengan
sbi	Seti
sbj	Surbakhal
sbk	Safwa
sbl	Botolan Sambal
sbm	Sagala
sbn	Sindhi Bhil
sbo	Sabüm
sbp	Sangu (Tanzania)
sbq	Sileibi
sbr	Sembakung Murut
sbs	Subiya
sbt	Kimki
sbu	Stod Bhoti
sbv	Sabine
sbw	Simba
sbx	Seberuang
sby	Soli
sbz	Sara Kaba
sc	sardu
scb	Chut
sce	Dongxiang
scf	San Miguel Creole French
scg	Sanggau
sch	Sakachep
sci	Sri Lankan Creole Malay
sck	Sadri
scl	Shina
scn	Sicilian
sco	Scots
scp	Helambu Sherpa
scq	Sa'och
scs	North Slavey
scu	Shumcho
scv	Sheni
scw	Sha
scx	Sicel
sd	सिन्धी, سنڌي، سندھی‎
sda	Toraja-Sa'dan
sdb	Shabak
sdc	Sassarese Sardinian
sde	Surubu
sdf	Sarli
sdg	Savi
sdh	Southern Kurdish
sdj	Suundi
sdk	Sos Kundi
sdl	Saudi Arabian Sign Language
sdm	Semandang
sdn	Gallurese Sardinian
sdo	Bukar-Sadung Bidayuh
sdp	Sherdukpen
sdr	Oraon Sadri
sdu	Sarudu
sdx	Sibu Melanau
sdz	Sallands
se	Davvisámegiella
sea	Semai
seb	Shempire Senoufo
sec	Sechelt
sed	Sedang
see	Seneca
sef	Cebaara Senoufo
seg	Segeju
seh	Sena
sei	Seri
sek	Sekani
sel	Selkup
sen	Nanerigé Sénoufo
seo	Suarmin
sep	Sìcìté Sénoufo
seq	Senara Sénoufo
ser	Serrano
ses	Koyraboro Senni Songhai
set	Sentani
seu	Serui-Laut
sev	Nyarafolo Senoufo
sew	Sewa Bay
sey	Secoya
sez	Senthang Chin
sfb	Langue des signes de Belgique Francophone
sfe	Eastern Subanen
sfm	Small Flowery Miao
sfs	South African Sign Language
sfw	Sehwi
sg	yângâ tî sängö
sga	Old Irish (to 900)
sgb	Mag-antsi Ayta
sgc	Kipsigis
sgd	Surigaonon
sge	Segai
sgg	Swiss-German Sign Language
sgh	Shughni
sgi	Suga
sgj	Surgujia
sgk	Sangkong
sgp	Singpho
sgr	Sangisari
sgs	Samogitian
sgt	Brokpake
sgu	Salas
sgw	Sebat Bet Gurage
sgx	Sierra Leone Sign Language
sgy	Sanglechi
sgz	Sursurunga
sh	Serbo-Croatian
sha	Shall-Zwall
shb	Ninam
shc	Sonde
shd	Kundal Shahi
she	Sheko
shg	Shua
shh	Shoshoni
shi	Tachelhit
shj	Shatt
shk	Shilluk
shl	Shendu
shm	Shahrudi
shn	Shan
sho	Shanga
shp	Shipibo-Conibo
shq	Sala
shr	Shi
shs	Shuswap
sht	Shasta
shu	Chadian Arabic
shv	Shehri
shw	Shwai
shx	She
shy	Tachawit
shz	Syenara Senoufo
si	සිංහල
sia	Akkala Sami
sib	Sebop
sid	Sidamo
sie	Simaa
sif	Siamou
sig	Paasaal
sih	Zire
sii	Shom Peng
sij	Numbami
sik	Sikiana
sil	Tumulung Sisaala
sim	Mende (Papua New Guinea)
sip	Sikkimese
siq	Sonia
sir	Siri
sis	Siuslaw
siu	Sinagen
siv	Sumariup
siw	Siwai
six	Sumau
siy	Sivandi
siz	Siwi
sja	Epena
sjb	Sajau Basap
sjd	Kildin Sami
sje	Pite Sami
sjg	Assangori
sjk	Kemi Sami
sjl	Sajalong
sjm	Mapun
sjn	Sindarin
sjo	Xibe
sjp	Surjapuri
sjr	Siar-Lak
sjs	Senhaja De Srair
sjt	Ter Sami
sju	Ume Sami
sjw	Shawnee
sk	सराइकी,سرائیکی, ਸਰਾਇਕੀ‎
ska	Skagit
skb	Saek
skc	Ma Manda
skd	Southern Sierra Miwok
ske	Seke (Vanuatu)
skf	Sakirabiá
skg	Sakalava Malagasy
skh	Sikule
ski	Sika
skj	Seke (Nepal)
skk	Sok
skm	Kutong
skn	Kolibugan Subanon
sko	Seko Tengah
skp	Sekapan
skq	Sininkere
skr	सराइकी,سرائیکی, ਸਰਾਇਕੀ‎
sks	Maia
skt	Sakata
sku	Sakao
skv	Skou
skx	Seko Padang
sky	Sikaiana
skz	Sekar
sl	slovenski jezik, slovenščina
slc	Sáliba
sld	Sissala
sle	Sholaga
slf	Swiss-Italian Sign Language
slg	Selungai Murut
slh	Southern Puget Sound Salish
sli	Lower Silesian
slj	Salumá
sll	Salt-Yui
slm	Pangutaran Sama
sln	Salinan
slp	Lamaholot
slr	Salar
sls	Singapore Sign Language
slt	Sila
slu	Selaru
slw	Sialum
slx	Salampasu
sly	Selayar
slz	Ma'ya
sm	gagana fa'a Samoa
sma	Southern Sami
smb	Simbari
smc	Som
smd	Sama
smf	Auwe
smg	Simbali
smh	Samei
smj	Lule Sami
smk	Bolinao
sml	Central Sama
smm	Musasa
smn	Inari Sami
smp	Samaritan
smq	Samo
smr	Simeulue
sms	Skolt Sami
smt	Simte
smu	Somray
smv	Samvedi
smw	Sumbawa
smx	Samba
smy	Semnani
smz	Simeku
sn	chiShona
snb	Sebuyau
snc	Sinaugoro
sne	Bau Bidayuh
snf	Noon
sng	Sanga (Democratic Republic of Congo)
snh	Shinabo
snj	Riverain Sango
snk	Soninke
snl	Sangil
snm	Southern Ma'di
snn	Siona
sno	Snohomish
snp	Siane
snq	Sangu (Gabon)
snr	Sihan
sns	South West Bay
snu	Senggi
snv	Sa'ban
snw	Selee
snx	Sam
sny	Saniyo-Hiyewe
snz	Sinsauru
so	Soomaaliga, af Soomaali
soa	Thai Song
sob	Sobei
soc	So (Democratic Republic of Congo)
sod	Songoora
soe	Songomeno
sog	Sogdian
soh	Aka
soi	Sonha
soj	Soi
sok	Sokoro
sol	Solos
soo	Songo
sop	Songe
soq	Kanasi
sor	Somrai
sos	Seeku
sou	Southern Thai
sov	Sonsorol
sow	Sowanda
sox	Swo
soy	Miyobe
soz	Temi
spb	Sepa (Indonesia)
spc	Sapé
spd	Saep
spe	Sepa (Papua New Guinea)
spg	Sian
spk	Sengo
spl	Selepet
spm	Akukem
spn	Sanapaná
spo	Spokane
spp	Supyire Senoufo
spq	Loreto-Ucayali Spanish
spr	Saparua
sps	Saposa
spt	Spiti Bhoti
spu	Sapuan
spv	Sambalpuri
spx	South Picene
spy	Sabaot
sq	Shqip
sqa	Shama-Sambuga
sqh	Shau
sqk	Albanian Sign Language
sqm	Suma
sqn	Susquehannock
sqo	Sorkhei
sqq	Sou
sqr	Siculo Arabic
sqs	Sri Lankan Sign Language
sqt	Soqotri
squ	Squamish
sr	српски језик
sra	Saruga
srb	Sora
src	Logudorese Sardinian
sre	Sara
srf	Nafi
srg	Sulod
srh	Sarikoli
sri	Siriano
srk	Serudung Murut
srl	Isirawa
srm	Saramaccan
srn	Sranan Tongo
sro	Campidanese Sardinian
srq	Sirionó
srr	Serer
srs	Sarsi
srt	Sauri
sru	Suruí
srv	Southern Sorsoganon
srx	Sirmauri
sry	Sera
srz	Shahmirzadi
ss	SiSwati
ssb	Southern Sama
ssc	Suba-Simbiti
ssd	Siroi
sse	Balangingi
ssf	Thao
ssg	Seimat
ssh	Shihhi Arabic
ssi	Sansi
ssj	Sausi
ssk	Sunam
ssl	Western Sisaala
ssm	Semnam
ssn	Waata
sso	Sissano
ssp	Spanish Sign Language
ssq	So'a
ssr	Swiss-French Sign Language
sss	Sô
sst	Sinasina
ssu	Susuami
ssv	Shark Bay
ssx	Samberigi
ssy	Saho
ssz	Sengseng
st	Sesotho
sta	Settla
stb	Northern Subanen
std	Sentinel
ste	Liana-Seti
stf	Seta
stg	Trieng
sth	Shelta
sti	Bulo Stieng
stj	Matya Samo
stk	Arammba
stl	Stellingwerfs
stm	Setaman
stn	Owa
sto	Stoney
stp	Southeastern Tepehuan
stq	Saterfriesisch
str	Straits Salish
sts	Shumashti
stt	Budeh Stieng
stu	Samtao
stv	Silt'e
stw	Satawalese
sty	Siberian Tatar
su	Basa Sunda
sua	Sulka
sub	Suku
suc	Western Subanon
sue	Suena
sug	Suganga
sui	Suki
suj	Shubi
suk	Sukuma
suq	Suri
sur	Mwaghavul
sus	Susu
sut	Subtiaba
suv	Puroik
suw	Sumbwa
sux	Sumerian
suy	Suyá
suz	Sunwar
sv	svenska
sva	Svan
svb	Ulau-Suain
svc	Vincentian Creole English
sve	Serili
svk	Slovakian Sign Language
svm	Slavomolisano
svr	Savara
svs	Savosavo
svx	Skalvian
sw	Kiswahili
swb	Maore Comorian
swc	Congo Swahili
swf	Sere
swg	Swabian
swh	Swahili (individual language)
swi	Sui
swj	Sira
swk	Malawi Sena
swl	Swedish Sign Language
swm	Samosa
swo	Shanenawa
swp	Suau
swq	Sharwa
swr	Saweru
sws	Seluwasan
swt	Sawila
swu	Suwawa
swv	Shekhawati
sww	Sowa
swx	Suruahá
swy	Sarua
sxb	Suba
sxc	Sicanian
sxe	Sighu
sxg	Shixing
sxk	Southern Kalapuya
sxl	Selian
sxm	Samre
sxn	Sangir
sxo	Sorothaptic
sxr	Saaroa
sxs	Sasaru
sxu	Upper Saxon
sxw	Saxwe Gbe
sya	Siang
syb	Central Subanen
syc	Classical Syriac
syi	Seki
syk	Sukur
syl	Sylheti
sym	Maya Samo
syn	Senaya
syo	Suoy
syr	Syriac
sys	Sinyar
syw	Kagate
syx	Samay
syy	Al-Sayyid Bedouin Sign Language
sza	Semelai
szb	Ngalum
szc	Semaq Beri
sze	Seze
szg	Sengele
szl	Silesian
szn	Sula
szp	Suabo
szv	Isu (Fako Division)
szw	Sawai
ta	தமிழ்
taa	Lower Tanana
tab	Tabassaran
tac	Lowland Tarahumara
tad	Tause
tae	Tariana
taf	Tapirapé
tag	Tagoi
taj	Eastern Tamang
tak	Tala
tal	Tal
tan	Tangale
tao	Yami
tap	Taabwa
taq	Tamasheq
tar	Central Tarahumara
tau	Upper Tanana
tav	Tatuyo
taw	Tai
tax	Tamki
tay	Atayal
taz	Tocho
tba	Aikanã
tbb	Tapeba
tbc	Takia
tbd	Kaki Ae
tbe	Tanimbili
tbf	Mandara
tbg	North Tairora
tbi	Gaam
tbj	Tiang
tbk	Calamian Tagbanwa
tbl	Tboli
tbm	Tagbu
tbn	Barro Negro Tunebo
tbo	Tawala
tbp	Taworta
tbr	Tumtum
tbs	Tanguat
tbt	Tembo (Kitembo)
tbv	Tobo
tbw	Tagbanwa
tbx	Kapin
tby	Tabaru
tbz	Ditammari
tca	Ticuna
tcb	Tanacross
tcc	Datooga
tcd	Tafi
tce	Southern Tutchone
tcf	Malinaltepec Me'phaa
tcg	Tamagario
tch	Turks And Caicos Creole English
tci	Wára
tck	Tchitchege
tcl	Taman (Myanmar)
tcm	Tanahmerah
tcn	Tichurong
tco	Taungyo
tcp	Tawr Chin
tcq	Kaiy
tcs	Torres Strait Creole
tct	T'en
tcu	Southeastern Tarahumara
tcw	Tecpatlán Totonac
tcx	Toda
tcy	Tulu
tcz	Thado Chin
tda	Tagdal
tdb	Panchpargania
tdc	Emberá-Tadó
tdd	Tai Nüa
tde	Tiranige Diga Dogon
tdf	Talieng
tdg	Western Tamang
tdh	Thulung
tdi	Tomadino
tdj	Tajio
tdk	Tambas
tdl	Sur
tdn	Tondano
tdo	Teme
tdq	Tita
tdr	Todrah
tds	Doutai
tdt	Tetun Dili
tdu	Tempasuk Dusun
tdv	Toro
tdx	Tandroy-Mahafaly Malagasy
tdy	Tadyawan
te	తెలుగు
tea	Temiar
tec	Terik
ted	Tepo Krumen
tee	Huehuetla Tepehua
tef	Teressa
teg	Teke-Tege
teh	Tehuelche
tei	Torricelli
tek	Ibali Teke
tem	Timne
teo	Teso
teq	Temein
ter	Tereno
tes	Tengger
tet	Tetum
teu	Soo
tev	Teor
tew	Tewa (USA)
tex	Tennet
tey	Tulishi
tfi	Tofin Gbe
tfn	Tanaina
tfo	Tefaro
tfr	Teribe
tft	Ternate
tg	тоҷикӣ, toçikī, تاجیکی‎
tga	Sagalla
tgb	Tobilung
tgc	Tigak
tgd	Ciwogai
tge	Eastern Gorkha Tamang
tgf	Chalikha
tgh	Tobagonian Creole English
tgi	Lawunuia
tgj	Tagin
tgn	Tandaganon
tgo	Sudest
tgp	Tangoa
tgq	Tring
tgr	Tareng
tgs	Nume
tgt	Central Tagbanwa
tgu	Tanggu
tgv	Tingui-Boto
tgw	Tagwana Senoufo
tgx	Tagish
tgz	Tagalaka
th	ไทย
thc	Tai Hang Tong
thd	Thayore
the	Chitwania Tharu
thf	Thangmi
thh	Northern Tarahumara
thi	Tai Long
thk	Tharaka
thl	Dangaura Tharu
thm	Aheu
thn	Thachanadan
thp	Thompson
thq	Kochila Tharu
thr	Rana Tharu
ths	Thakali
tht	Tahltan
thu	Thuri
thv	Tahaggart Tamahaq
thw	Thudam
thy	Tha
thz	Tayart Tamajeq
ti	ትግርኛ
tia	Tidikelt Tamazight
tic	Tira
tid	Tidong
tif	Tifal
tig	Tigre
tih	Timugon Murut
tii	Tiene
tij	Tilung
tik	Tikar
tim	Timbe
tin	Tindi
tio	Teop
tip	Trimuris
tiq	Tiéfo
tis	Masadiit Itneg
tit	Tinigua
tiu	Adasen
tiv	Tiv
tiw	Tiwi
tix	Southern Tiwa
tiy	Tiruray
tiz	Tai Hongjin
tja	Tajuasohn
tjg	Tunjung
tji	Northern Tujia
tjl	Tai Laing
tjm	Timucua
tjo	Temacine Tamazight
tjs	Southern Tujia
tjw	Djabwurrung
tk	Türkmen, Түркмен
tka	Truká
tkb	Buksa
tkd	Tukudede
tke	Takwane
tkg	Tesaka Malagasy
tkl	Tokelau
tkm	Takelma
tkn	Toku-No-Shima
tkp	Tikopia
tkq	Tee
tkr	Tsakhur
tks	Takestani
tkt	Kathoriya Tharu
tku	Upper Necaxa Totonac
tkv	Mur Pano
tkw	Teanu
tkx	Tangko
tkz	Takua
tl	Wikang Tagalog, ᜏᜒᜃᜅ᜔ ᜆᜄᜎᜓᜄ᜔
tla	Southwestern Tepehuan
tlb	Tobelo
tlc	Yecuatla Totonac
tld	Talaud
tlf	Telefol
tlg	Tofanma
tlh	Klingon
tli	Tlingit
tlj	Talinga-Bwisi
tlk	Taloki
tll	Tetela
tlm	Tolomako
tln	Talondo'
tlo	Talodi
tlp	Filomena Mata-Coahuitlán Totonac
tlq	Tai Loi
tlr	Talise
tls	Tambotalo
tlt	Teluti
tlu	Tulehu
tlv	Taliabu
tlx	Khehek
tly	Talysh
tma	Tama (Chad)
tmb	Katbol
tmc	Tumak
tmd	Haruai
tme	Tremembé
tmf	Toba-Maskoy
tmh	Tamashek
tmi	Tutuba
tmj	Samarokena
tmk	Northwestern Tamang
tml	Tamnim Citak
tmm	Tai Thanh
tmn	Taman (Indonesia)
tmo	Temoq
tmp	Tai Mène
tmq	Tumleo
tmr	Jewish Babylonian Aramaic (ca. 200-1200 CE)
tms	Tima
tmt	Tasmate
tmu	Iau
tmv	Tembo (Motembo)
tmw	Temuan
tmy	Tami
tn	Setswana
tna	Tacana
tnb	Western Tunebo
tnc	Tanimuca-Retuarã
tnd	Angosturas Tunebo
tne	Tinoc Kallahan
tng	Tobanga
tnh	Maiani
tni	Tandia
tnk	Kwamera
tnl	Lenakel
tnm	Tabla
tnn	North Tanna
tno	Toromono
tnp	Whitesands
tnq	Taino
tnr	Ménik
tns	Tenis
tnt	Tontemboan
tnu	Tay Khang
tnv	Tangchangya
tnw	Tonsawang
tnx	Tanema
tny	Tongwe
tnz	Tonga (Thailand)
to	faka Tonga
tob	Toba
toc	Coyutla Totonac
tod	Toma
tof	Gizrra
tog	Tonga (Nyasa)
toh	Gitonga
toi	Tonga (Zambia)
toj	Tojolabal
tol	Tolowa
tom	Tombulu
too	Xicotepec De Juárez Totonac
top	Papantla Totonac
toq	Toposa
tor	Togbo-Vara Banda
tos	Highland Totonac
tou	Tho
tov	Upper Taromi
tow	Jemez
tox	Tobian
toy	Topoiyo
toz	To
tpa	Taupota
tpc	Azoyú Me'phaa
tpe	Tippera
tpf	Tarpia
tpg	Kula
tpi	Tok Pisin
tpj	Tapieté
tpk	Tupinikin
tpl	Tlacoapa Me'phaa
tpm	Tampulma
tpn	Tupinambá
tpo	Tai Pao
tpp	Pisaflores Tepehua
tpq	Tukpa
tpr	Tuparí
tpt	Tlachichilco Tepehua
tpu	Tampuan
tpv	Tanapag
tpw	Tupí
tpx	Acatepec Me'phaa
tpy	Trumai
tpz	Tinputz
tqb	Tembé
tql	Lehali
tqm	Turumsa
tqn	Tenino
tqo	Toaripi
tqp	Tomoip
tqq	Tunni
tqr	Torona
tqt	Western Totonac
tqu	Touo
tqw	Tonkawa
tr	Türkçe
tra	Tirahi
trb	Terebu
trc	Copala Triqui
trd	Turi
tre	East Tarangan
trf	Trinidadian Creole English
trg	Lishán Didán
trh	Turaka
tri	Trió
trj	Toram
trl	Traveller Scottish
trm	Tregami
trn	Trinitario
tro	Tarao Naga
trp	Kok Borok
trq	San Martín Itunyoso Triqui
trr	Taushiro
trs	Chicahuaxtla Triqui
trt	Tunggare
tru	Turoyo
trv	Taroko
trw	Torwali
trx	Tringgus-Sembaan Bidayuh
trz	Torá
ts	Xitsonga
tsa	Tsaangi
tsb	Tsamai
tsc	Tswa
tsd	Tsakonian
tse	Tunisian Sign Language
tsg	Tausug
tsh	Tsuvan
tsi	Tsimshian
tsj	Tshangla
tsk	Tseku
tsl	Ts'ün-Lao
tsm	Turkish Sign Language
tsp	Northern Toussian
tsq	Thai Sign Language
tsr	Akei
tss	Taiwan Sign Language
tst	Tondi Songway Kiini
tsu	Tsou
tsv	Tsogo
tsw	Tsishingini
tsx	Mubami
tsy	Tebul Sign Language
tsz	Purepecha
tt	татар теле, tatar tele
tta	Tutelo
ttb	Gaa
ttc	Tektiteko
ttd	Tauade
tte	Bwanabwana
ttf	Tuotomb
ttg	Tutong
tth	Upper Ta'oih
tti	Tobati
ttj	Tooro
ttk	Totoro
ttl	Totela
ttm	Northern Tutchone
ttn	Towei
tto	Lower Ta'oih
ttp	Tombelala
ttq	Tawallammat Tamajaq
ttr	Tera
tts	Northeastern Thai
ttt	Muslim Tat
ttt-x-ismai	Ismaili
ttt-x-txizi	Xizi
ttu	Torau
ttv	Titan
ttw	Long Wat
tty	Sikaritai
ttz	Tsum
tua	Wiarumus
tub	Tübatulabal
tuc	Mutu
tud	Tuxá
tue	Tuyuca
tuf	Central Tunebo
tug	Tunia
tuh	Taulil
tui	Tupuri
tuj	Tugutil
tul	Tula
tum	Tumbuka
tun	Tunica
tuo	Tucano
tuq	Tedaga
tus	Tuscarora
tuv	Turkana
tuy	Tugen
tuz	Turka
tva	Vaghua
tvd	Tsuvadi
tvk	Southeast Ambrym
tvl	Tuvalu
tvm	Tela-Masbuar
tvn	Tavoyan
tvo	Tidore
tvs	Taveta
tvt	Tutsa Naga
tvu	Tunen
tvw	Sedoa
tw	Twi
twa	Twana
twb	Western Tawbuid
twc	Teshenawa
twd	Twents
twe	Tewa (Indonesia)
twf	Northern Tiwa
twg	Tereweng
twh	Tai Dón
twl	Tawara
twm	Tawang Monpa
twn	Twendi
two	Tswapong
twp	Ere
twq	Tasawaq
twr	Southwestern Tarahumara
twt	Turiwára
twu	Termanu
tww	Tuwari
twx	Tewe
twy	Tawoyan
txa	Tombonuo
txb	Tokharian B
txc	Tsetsaut
txe	Totoli
txg	Tangut
txh	Thracian
txi	Ikpeng
txj	Tarjumo
txm	Tomini
txn	West Tarangan
txo	Toto
txq	Tii
txr	Tartessian
txs	Tonsea
txt	Citak
txu	Kayapó
txx	Tatana
txy	Tanosy Malagasy
ty	Reo Tahiti
tya	Tauya
tye	Kyanga
tyh	O'du
tyi	Teke-Tsaayi
tyj	Tai Do
tyl	Thu Lao
tyn	Kombai
tyr	Tai Daeng
tys	Tày Sa Pa
tyt	Tày Tac
tyu	Kua
tyv	Tuvinian
tyx	Teke-Tyee
tyz	Tày
tza	Tanzanian Sign Language
tzh	Tzeltal
tzj	Tz'utujil
tzl	Talossan
tzm	Central Atlas Tamazight
tzn	Tugun
tzo	Tzotzil
tzx	Tabriak
uam	Uamué
uan	Kuan
uar	Tairuma
uba	Ubang
ubi	Ubi
ubl	Buhi'non Bikol
ubr	Ubir
ubu	Umbu-Ungu
uda	Uda
ude	Udihe
udg	Muduga
udi	Udi
udj	Ujir
udl	Wuzlam
udm	Udmurt
udu	Uduk
ues	Kioko
ufi	Ufim
ug	ئۇيغۇرچە‎, Uyghurche
uga	Ugaritic
uge	Ughele
ugn	Ugandan Sign Language
ugo	Ugong
ugy	Uruguayan Sign Language
uha	Uhami
uhn	Damal
uis	Uisai
uiv	Iyive
uji	Tanjijili
uk	українська мова
uka	Kaburi
ukg	Ukuriguma
ukh	Ukhwejo
ukl	Ukrainian Sign Language
ukp	Ukpe-Bayobiri
ukq	Ukwa
uks	Urubú-Kaapor Sign Language
uku	Ukue
ukw	Ukwuani-Aboh-Ndoni
ula	Fungwa
ulb	Ulukwumi
ulc	Ulch
ule	Lule
ulf	Usku
uli	Ulithian
ulk	Meriam
ull	Ullatan
ulm	Ulumanda'
uln	Unserdeutsch
ulu	Uma' Lung
ulw	Ulwa
uma	Umatilla
umb	Umbundu
umc	Marrucinian
umi	Ukit
umm	Umon
umn	Makyan Naga
umo	Umotína
ump	Umpila
ums	Pendau
umu	Munsee
una	North Watut
und	Undetermined
une	Uneme
ung	Ngarinyin
unk	Enawené-Nawé
unm	Unami
unn	Kurnai
unr	Mundari
unu	Unubahe
unx	Munda
unz	Unde Kaili
upi	Umeda
upv	Uripiv-Wala-Rano-Atchin
ur	اردو
ura	Urarina
urb	Urubú-Kaapor
ure	Uru
urg	Urigina
urh	Urhobo
uri	Urim
urk	Urak Lawoi'
url	Urali
urm	Urapmin
urn	Uruangnirin
uro	Ura (Papua New Guinea)
urp	Uru-Pa-In
urr	Lehalurup
urt	Urat
urw	Sop
urx	Urimo
ury	Orya
urz	Uru-Eu-Wau-Wau
usa	Usarufa
ush	Ushojo
usi	Usui
usk	Usaghade
usp	Uspanteco
usu	Uya
uta	Otank
ute	Ute-Southern Paiute
utp	Amba (Solomon Islands)
utr	Etulo
utu	Utu
uum	Urum
uur	Ura (Vanuatu)
uuu	U
uve	West Uvean
uvh	Uri
uvl	Lote
uwa	Kuku-Uwanh
uya	Doko-Uyanga
uz	Oʻzbek, Ўзбек, أۇزبېك‎
uzn	Northern Uzbek
uzs	Southern Uzbek
vaa	Vaagri Booli
vae	Vale
vaf	Vafsi
vag	Vagla
vah	Varhadi-Nagpuri
vai	Vai
vaj	Sekele
val	Vehes
vam	Vanimo
van	Valman
vao	Vao
vap	Vaiphei
var	Huarijio
vas	Vasavi
vau	Vanuma
vav	Varli
vay	Wayu
vbb	Southeast Babar
vbk	Southwestern Bontok
ve	Tshivenḓa
vec	Venetian
ved	Veddah
vel	Veluws
vem	Vemgo-Mabas
veo	Ventureño
vep	Veps
ver	Mom Jango
vgr	Vaghri
vgt	Vlaamse Gebarentaal
vi	Việtnam
vic	Virgin Islands Creole English
vid	Vidunda
vif	Vili
vig	Viemo
vin	Vinza
vis	Vishavan
vit	Viti
viv	Iduna
vki	Ija-Zuba
vkj	Kujarge
vkk	Kaur
vkl	Kulisusu
vko	Kodeoha
vkp	Korlai Creole Portuguese
vkt	Tenggarong Kutai Malay
vku	Kurrama
vlp	Valpei
vls	Vlaams
vma	Martuyhunira
vmc	Juxtlahuaca Mixtec
vmd	Mudu Koraga
vme	East Masela
vmf	Mainfränkisch
vmg	Lungalunga
vmh	Maraghei
vmj	Ixtayutla Mixtec
vmk	Makhuwa-Shirima
vmm	Mitlatongo Mixtec
vmp	Soyaltepec Mazatec
vmq	Soyaltepec Mixtec
vmr	Marenje
vmw	Makhuwa
vmx	Tamazola Mixtec
vmy	Ayautla Mazatec
vmz	Mazatlán Mazatec
vnk	Vano
vnm	Vinmavis
vnp	Vunapu
vo	Volapük
vor	Voro
vot	Votic
vra	Vera'a
vro	Võro
vrs	Varisi
vrt	Burmbar
vsi	Moldova Sign Language
vsl	Venezuelan Sign Language
vsv	Valencian Sign Language
vto	Vitou
vum	Vumbu
vun	Vunjo
vut	Vute
vwa	Awa (China)
wa	walon
waa	Walla Walla
wab	Wab
wac	Wasco-Wishram
wad	Wandamen
wae	Walser
waf	Wakoná
wag	Wa'ema
wah	Watubela
wai	Wares
waj	Waffa
wal	Wolaytta
wam	Wampanoag
wan	Wan
wao	Wappo
wap	Wapishana
waq	Wageman
war	Waray (Philippines)
was	Washo
wat	Kaninuwa
wau	Waurá
wav	Waka
waw	Waiwai
wax	Watam
way	Wayana
waz	Wampur
wba	Warao
wbb	Wabo
wbe	Waritai
wbf	Wara
